HBV-B,Human
Q4AE16,Q13309
Q7TDY3,Q16665
Q4AE16,Q13309
Q2I360,Q8IX03
Q2I360,Q9NR19
Q2I360,Q6IAV3
Q2I360,P54098
Q2I360,Q8IXM3
Q2I360,Q38L21
Q2I360,Q13642
Q2I360,Q96S59
Q2I360,Q6Q795
Q2I360,Q96JB3
Q2I360,Q6NW24
Q8V1H6,Q66K89
Q8V1H6,Q16531
Q8V1H6,Q9UHC7
Q8V1H6,Q96JM7
Q7M022,Q16531
Q7M022,Q16531
Q8V1H6,Q66K89
Q4AE16,P19793
Q2I360,P51681
Q9QMH9,Q16531
Q9QMH9,Q16531
Q9QMH9,Q16531
Q9QMH9,Q13619
Q9QBE1,P11021
Q7TDY3,D0VY79
Q2I360,E5KNU5
Q67855,Q9HC16
Q8JYI4,O75843
Q8JYI4,O75843
Q8JYI4,O75843
Q2I360,P41567
Q4AE16,F1D8Q5
Q9WRK6,Q9HC16
Q778I9,P13987
Q778I9,P13987
Q778I9,P13987
Q778I9,P09493
Q778I9,Q9H668
K7QG91,P13073
K7QG91,P02795
K7QG91,P02768
K7QG91,P09382
K7QG91,P05026
K7QG91,Q08477
K7QG91,P00403
K7QG91,P02766
K7QG91,P05062
A0A060A633,Q96EY1
A0A060A633,P25685
A0A060A633,P19801
A0A060A633,P25685
A0A060A633,Q14974
A0A060A633,P19801
A0A060A633,Q96EY1
A0A060A633,P52292
Q784Z8,Q9GZX7
Q784Z8,Q9GZX7
Q784Z8,Q546Y9
Q784Z8,Q546Y9
Q784Z8,P31941
Q784Z8,P31941
Q784Z8,P31941
Q784Z8,Q9HC16
Q2I360,Q6Q795
A0A060A633,P19801
Q05499,P19388
Q05499,Q00403
Q69027,Q7Z434
Q69027,Q96T23
Q69027,Q96T23
Q69027,O43504
Q69027,O00170
Q76R62,P27797
Q76R61,P51681
Q76R61,Q96S59
Q69027,Q16531
Q69027,Q15904
Q69027,Q16531
Q69027,P00414
Q69027,Q13309
Q69028,P07307
Q69027,Q13526
Q69027,P28062
Q69027,Q9UHC7
Q69028,P36956
Q69027,O14818
Q69027,O14775
Q69027,P00414
Q69028,P60903
Q69027,Q16531
Q69027,Q9Y277
Q76R62,P07108
Q76R61,Q8IXM3
Q69027,P05981
Q76R61,Q06330
Q69027,P67775
Q76R62,Q93088
Q69027,P17980
Q69027,Q16531
Q69027,Q92905
Q76R62,P02795
Q76R61,Q53FZ2
Q69027,Q03060
Q69027,P34932
Q76R62,Q9BV35
Q76R62,Q969I6
Q69027,P57775
Q69027,Q12805
Q69027,P62191
Q69027,O14818
Q69027,P16220
Q76R62,P02768
Q69028,P60903
Q69027,Q16531
Q76R61,P13639
Q69027,O75352
Q76R61,P54098
Q76R61,Q96JB3
Q76R61,P41567
Q69027,O14818
Q69027,P19224
Q69027,P00414
Q69027,Q13526
Q69027,Q66K89
Q76R61,Q8IUX4
Q69027,Q16531
Q76R61,Q8IX03
Q69027,Q9UGM5
Q69027,Q16531
Q69027,P10809
Q69027,P17676
Q69027,Q00403
Q69027,Q14686
Q69027,Q16665
Q76R62,P60033
Q69027,Q16531
Q69027,O14775
Q69027,P17980
Q69028,P62487
Q69027,Q9BT78
Q69027,Q9UNS2
Q69027,P02675
Q69027,P18847
Q69027,P67775
Q69027,P48230
Q69027,O14818
Q69027,P05981
Q76R62,Q99624
Q76R61,Q16342
Q69027,P10275
Q69027,P17676
Q69027,P18847
Q69027,O14818
Q69027,O43504
Q69027,P10809
Q69027,P19793
Q69027,P34932
Q69027,P35638
Q69027,P62191
Q69027,Q03060
Q69027,Q13526
Q69027,Q13526
Q69027,Q14686
Q69027,Q16531
Q69027,Q66K89
Q69027,Q92905
Q69027,Q9Y277
Q76R62,E9PAV3
Q76R62,E9PAV3
Q76R62,P00403
Q76R62,P00492
Q76R62,P02675
Q76R62,P02749
Q76R62,P02766
Q76R62,P02795
Q76R62,P05026
Q76R62,P09382
Q76R62,P11021
Q76R62,P11021
Q76R62,P11021
Q76R62,P11142
Q76R62,P11142
Q76R62,P11142
Q76R62,P13073
Q76R62,P17861
Q76R62,P36955
Q76R62,P54803
Q76R62,P62328
Q76R62,Q08477
Q76R62,Q14624
Q76R62,Q96JJ6
Q76R62,Q96JJ6
Q76R62,Q96JJ6
Q76R62,P05062
Q69027,O00170
Q76R62,P02768
P12901,Q8WLS4
P12901,Q8WLS4
P0C6I1,Q86XR7
P0C6I1,Q86XR7
P0C6I1,P58753
P0C6I1,P58753
P69713,Q8IUQ4
P69713,Q8IUQ4
P69713,Q8IUQ4
P69713,P04637
P69713,Q00987
P69713,P62913
P03165,P16220
P03165,P27348
P03165,P31749
P03165,B0LPE5
B1Q2W9,P06748
B1Q2W9,P06748
P03157,P14625
Q17UT5,Q8NEB9
P0C6I6,P01892
P03139,O75843
