Drug	Target
DB00357	CYP11A1
DB02721	ADH1B
DB00773	PTGS1
DB07138	MAPK14
DB08136	CDK2
DB01242	SLC6A2
DB01238	CHRM4
DB00186	GABRA4
DB00338	CYP2D6
DB01151	ADRA2A
DB01244	ATP1A1
DB01745	PRSS1
DB01996	MMP3
DB04800	PTPN1
DB08352	MAPK14
DB00133	AGXT
DB00163	GSTM3
DB00197	CYP2C8
DB06777	CYP3A4
DB01151	CYP2D6
DB00356	CYP3A4
DB01589	GABRA3
DB01272	M6PR
DB08846	SQLE
DB01151	CYP2C19
DB01076	HMGCR
DB00605	PPARD
DB08515	PSMB2
DB02401	LDHB
DB01057	BCHE
DB03286	PYGM
DB08814	PDE10A
DB00945	PTGS1
DB01809	RET
DB01352	GABRA6
DB00185	CYP2D6
DB01708	GRIN2C
DB04058	CPA1
DB00570	TUBD1
DB02805	RNASE1
DB01355	CHRNA4
DB00834	CYP3A7
DB00734	ADRA2A
DB01708	GABRQ
DB03981	HS3ST3A1
DB07124	PRKACA
DB08137	CDK2
DB00143	ESD
DB00102	PDGFRA
DB00188	PSMB4
DB00533	PTGS1
DB01520	GRIN2B
DB08355	CDK2
DB01252	PPARG
DB01215	GABRG2
DB01221	OPRK1
DB00922	PDE3A
DB00586	CYP1A1
DB00243	CYP3A4
DB00054	FCGR2A
DB00051	FCGR2B
DB05238	BRAF
DB04335	PNP
DB05030	KDR
DB00231	GABRG2
DB00162	ALDH1A1
DB00988	CYP2C19
DB00373	ADRB1
DB01223	CYP1A2
DB00255	CYP2C9
DB01247	MAOA
DB00564	CYP2C8
DB04551	PKLR
DB02056	AKR1C3
DB08424	MAPK14
DB05387	MMP2
DB03865	HPN
DB04405	MMP12
DB04322	MTHFD1
DB01357	ESR1
DB01698	CYP2C8
DB07616	HPGDS
DB01011	CYP2A6
DB00005	FCGR3A
DB01074	CYP2D6
DB00475	GABRA4
DB00939	KCNQ2
DB00518	CYP1A1
DB01587	GABRD
DB00201	PDE4B
DB04444	CMPK1
DB03501	B4GALT1
DB09068	CYP3A5
DB03103	NME1
DB01381	GABRA1
DB01820	PTPN1
DB03461	DECR1
DB08914	INSR
DB00116	MTHFD2
DB00139	SLC13A3
DB00114	PDXDC1
DB00139	SDHD
DB01167	CYP3A5
DB07034	CHEK1
DB04389	FHIT
DB00328	PTGDR2
DB00201	PDE4C
DB00515	MT2A
DB05079	HRH1
DB08095	MAPK14
DB00993	HPRT1
DB05157	MAPK11
DB02250	LYZ
DB05260	RRM2
DB00820	CYP3A4
DB05280	DRD3
DB03152	RHO
DB07428	HBB
DB00477	SMPD1
DB00721	CHRNA2
DB01156	CYP2C9
DB05390	P2RY2
DB01454	SLC6A4
DB00744	CYP3A4
DB00108	C1QA
DB01424	CYP2C8
DB04216	ATP5F1B
DB01224	DRD3
DB00112	FCGR2C
DB01365	ADRA1B
DB00200	MMUT
DB00696	ADRA1D
DB04922	CACNA2D2
DB07494	CHRFAM7A
DB08385	FAAH
DB07020	MAPK9
DB03758	PDK3
DB06147	CYP19A1
